#Wavelength Good  SNR  Sigma  LineFlux  Cont  SBR  EW_Obs  Score
5395  1.000000  7.167341  3.109197  0.000000  0.000000  7.167341  16.208443 4
5304  1.000000  4.510671  3.887232  0.000000  0.000000  4.510671  21.119783 2
4768  1.000000  6.639185  2.287511  0.000000  0.000000  6.639185  18.514150 4
3738  1.000000  5.148657  2.739457  0.000000  0.000000  5.148657  16.828410 3
4056  1.000000  4.394425  3.131018  0.000000  0.000000  4.394425  15.066908 2
3941  1.000000  5.388768  1.828293  0.000000  0.000000  5.388768  9.123748 2
5011  1.000000  4.735392  3.933152  0.000000  0.000000  4.735392  23.216556 2
4383  1.000000  5.337826  3.637909  0.000000  0.000000  5.337826  23.298656 2
5378  1.000000  7.335415  5.957716  0.000000  0.000000  7.335415  32.299156 6
4462  1.000000  7.771947  1.774940  0.000000  0.000000  7.771947  22.244360 3
3569  1.000000  4.711898  2.373580  0.000000  0.000000  4.711898  14.204253 2
5374  1.000000  4.328938  3.532399  0.000000  0.000000  4.328938  19.752709 2
3812  1.000000  6.354604  2.879128  0.000000  0.000000  6.354604  24.969518 3
4134  1.000000  7.842511  2.990824  0.000000  0.000000  7.842511  40.772277 5
4576  1.000000  5.065410  3.167307  0.000000  0.000000  5.065410  17.880641 3
3592  1.000000  4.407799  2.185683  0.000000  0.000000  4.407799  20.351614 2
5060  1.000000  4.093830  4.874734  0.000000  0.000000  4.093830  22.722270 3
3827  1.000000  5.614251  4.663161  0.000000  0.000000  5.614251  26.495685 6
4372  1.000000  5.335631  3.543376  0.000000  0.000000  5.335631  26.076580 3
3722  1.000000  5.375881  3.596478  0.000000  0.000000  5.375881  29.992616 3
5007  1.000000  3.217406  2.329740  0.000000  0.000000  3.217406  14.531077 2
3791  1.000000  4.448053  3.909536  0.000000  0.000000  4.448053  27.202723 2
